x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,train_C1
0.94359106,0.84582764,0.109755225,0.8319261,0.51917785,0.49331525,0.099573866,0.4931766,0.99762887,0.21181141,0.026017897,0.6130339
0.4038163,0.3936686,0.99158144,0.13559434,0.031168666,0.65487313,0.7577697,0.60735124,0.23496918,0.7371889,0.59761107,0.6643514
0.094827555,0.6345095,0.2506266,0.50770915,0.37122676,0.8269254,0.28242165,0.8005375,0.322911,0.7827133,0.81469446,0.78304994
0.55726916,0.11768203,0.6324722,0.46762744,0.8597839,0.040486235,0.56561786,0.16326211,0.5699482,0.26121208,0.30804083,0.64037836
0.70854527,0.5951186,0.86338603,0.28565475,0.96526587,0.35073215,0.48200992,0.98011255,0.4900463,0.540915,0.96610314,0.621967
0.13886401,0.14097495,0.23740381,0.74780273,0.4532751,0.5005756,0.64022243,0.124315575,0.7429471,0.003788298,0.410257,0.6125075
0.36197713,0.8857221,0.5047478,0.10987152,0.17571704,0.9538745,0.16535026,0.28260022,0.81539136,0.45361018,0.13068022,0.8653968
0.7901177,0.3708792,0.37877688,0.91576946,0.68715996,0.17915648,0.9485622,0.6773063,0.07811113,0.99461216,0.7465868,0.63241524
0.87470907,0.7307853,0.57806534,0.6506991,0.07058834,0.10120648,0.42916372,0.880055,0.39280102,0.33718026,0.65012103,0.6369429
0.28520596,0.028745685,0.4462388,0.31584755,0.5664129,0.7500691,0.70845324,0.017345693,0.6554709,0.8625545,0.21963926,0.73134685
0.2115077,0.75762373,0.81173587,0.9514784,0.78885573,0.7033711,0.23798811,0.32805812,0.78613734,0.65710175,0.43860817,0.6989109
0.62809664,0.49116513,0.17989059,0.02287694,0.29248136,0.42962724,0.89227796,0.7138682,0.039094944,0.13560466,0.9301232,0.6170125
0.6054836,0.98347706,0.32376298,0.2316517,0.3823461,0.24378727,0.061599776,0.39799806,0.90078235,0.9143276,0.3421291,0.6285779
0.054433342,0.27945668,0.69974536,0.80082434,0.8865215,0.90437293,0.84090596,0.5033072,0.14788483,0.3772041,0.78811383,0.8337368
0.4483838,0.50442845,0.057920143,0.4308724,0.7265786,0.5764216,0.3709167,0.84112406,0.2943037,0.07995584,0.50663835,0.6075711
0.8912186,0.23995061,0.93389094,0.593795,0.22295296,0.29096135,0.5252223,0.19690579,0.5315718,0.6209536,0.124620356,0.6256731
0.93496454,0.5609134,0.4968148,0.08403233,0.81694937,0.911426,0.7908277,0.87286687,0.6574449,0.05472973,0.08646949,0.8382829
0.4754406,0.2025048,0.62084794,0.8898383,0.32107422,0.19041604,0.07402341,0.227779,0.41815406,0.51763785,0.5330629,0.63170296
0.025640884,0.9589707,0.13718769,0.25199923,0.042052716,0.26824552,0.6064879,0.42878538,0.021493899,0.939032,0.75006247,0.6270629
0.5644499,0.28589278,0.76120144,0.7140551,0.5383536,0.61437327,0.26468417,0.53514755,0.77641225,0.4800612,0.36840853,0.63471556
0.67074203,0.809717,0.7429422,0.5326322,0.63600034,0.8079115,0.65788287,0.35883036,0.1654277,0.69633347,0.90565956,0.7704208
0.23966119,0.4493219,0.3747838,0.4925194,0.13187544,0.090811156,0.44109526,0.7457239,0.9105694,0.22173716,0.47481325,0.63755506
0.2597113,0.7096941,0.8828209,0.8646653,0.47339693,0.38738635,0.9740356,0.91181344,0.5296579,0.2974288,0.19530515,0.61972
0.8303814,0.03860268,0.014651203,0.16830263,0.97709596,0.72961307,0.13224769,0.04820394,0.26888674,0.7759614,0.686212,0.71719784
0.7547926,0.9219448,0.9406088,0.4059759,0.28065985,0.55838716,0.7454176,0.25194833,0.20172592,0.43131942,0.7144406,0.60874164
0.3431049,0.31365663,0.06657599,0.5688685,0.76872534,0.34030685,0.399707,0.6455709,0.9410117,0.89422405,0.15895854,0.6226982
0.15996782,0.58940965,0.675694,0.19894649,0.61024785,0.13688658,0.93705434,0.94847846,0.61881447,0.56268793,0.37798077,0.63488597
0.74261534,0.16669956,0.3016799,0.76808906,0.12175463,0.98008466,0.2163443,0.09358161,0.36390615,0.1037215,0.99449605,0.8819804
0.52279663,0.6751258,0.19466461,0.9774128,0.20376861,0.6618963,0.8624728,0.76891834,0.6941447,0.82096666,0.27780157,0.66947436
0.07509893,0.06485492,0.8128229,0.04872022,0.7157031,0.4399131,0.01677884,0.13251258,0.44899106,0.34637377,0.84878653,0.61630553
0.42235857,0.8367017,0.429267,0.68444204,0.93668073,0.017738514,0.5546021,0.46250927,0.11129241,0.17304213,0.5672728,0.64165074
0.9802265,0.41597432,0.54743683,0.3494995,0.42517394,0.8648481,0.3339078,0.57563096,0.8720667,0.6515703,0.06025459,0.8080515
0.989635,0.6441908,0.7855988,0.18339176,0.65854675,0.9941427,0.61800015,0.63789934,0.42725292,0.2412992,0.42698252,0.8908706
0.42076248,0.09629735,0.15963197,0.8466429,0.16999777,0.15399262,0.27621245,0.27525067,0.68020785,0.71589506,0.9496255,0.6338897
0.08033806,0.8674116,0.58271766,0.4841749,0.451033,0.3260599,0.808657,0.07027497,0.75266474,0.7642123,0.7320624,0.6235384
0.5097451,0.38381854,0.45673135,0.55367607,0.93903506,0.5413287,0.09186896,0.95614666,0.01533182,0.28567925,0.14545268,0.6098387
0.7254132,0.89148283,0.031298995,0.69988173,0.85702467,0.84766185,0.98507583,0.1558402,0.93541366,0.5059493,0.6121393,0.79681605
0.18498237,0.3455721,0.9131406,0.27105945,0.34557366,0.0036078766,0.14327146,0.7612101,0.1726865,0.043041706,0.011249251,0.64240915
0.3144092,0.6205926,0.3289002,0.8990986,0.002038532,0.45692182,0.67621666,0.58334255,0.2606443,0.49956173,0.2913191,0.6153369
0.7756759,0.1350168,0.71073043,0.06402628,0.5140365,0.6761012,0.45941287,0.43918595,0.50775135,0.95853305,0.8311759,0.67957485
0.8251262,0.77913237,0.277252,0.36181533,0.24383935,0.59816563,0.91633993,0.23545492,0.96305,0.36593622,0.8028863,0.6226113
0.27277896,0.48135984,0.6532192,0.6672474,0.74020755,0.2531327,0.19564609,0.84956795,0.21008454,0.84052765,0.3276047,0.6279609
0.23026708,0.7405114,0.10461473,0.03759479,0.89666945,0.20645021,0.73297334,0.5584422,0.35651603,0.6398218,0.108142756,0.63078386
0.6723237,0.007285713,0.9806006,0.9992769,0.40085396,0.9266019,0.38727915,0.42110613,0.59385353,0.16129218,0.5233638,0.8480043
0.59313095,0.5298557,0.5308806,0.75497997,0.303211,0.7446459,0.5334156,0.72239304,0.45552477,0.88253516,0.23612067,0.72759545
0.0047722673,0.23406972,0.39903885,0.21498168,0.80684286,0.40352157,0.3127051,0.3665344,0.71824926,0.41963193,0.63339937,0.618666
0.49265853,0.98931503,0.85873705,0.57920074,0.58788085,0.07558575,0.850533,0.040503226,0.84893167,0.12322149,0.91535455,0.63840365
0.90993416,0.2541028,0.22690691,0.38295245,0.08369638,0.7918355,0.0048230644,0.9351486,0.101837054,0.5821893,0.45313638,0.7596173
0.8888894,0.95302594,0.66471356,0.93568397,0.9897121,0.41252112,0.3016855,0.0096698385,0.22770156,0.02341137,0.49129465,0.6180797
0.45852566,0.311384,0.29653978,0.10070276,0.49340403,0.68931293,0.58489794,0.90335405,0.9727906,0.56053764,0.8889379,0.6889564
0.04016018,0.53562343,0.96135426,0.7286509,0.15133126,0.7671274,0.10952995,0.69057345,0.591865,0.98280203,0.67144334,0.7429019
0.61194414,0.20827888,0.09319994,0.29991972,0.6472145,0.11545338,0.7677418,0.33573732,0.33114797,0.4417996,0.20983338,0.6361193
0.6538443,0.69983065,0.41877162,0.446553,0.55735356,0.30509195,0.18414202,0.5266382,0.7201777,0.7255614,0.54783535,0.62482685
